Observer ,Year,Month,Sunday,Site,Family,Genus,Species,Fork length
Jessica Tran,2021,April,2,Papeete market,Holocentridae,Sargocentron,spiniferum,26.57765
Jessica Tran,2021,April,1,Papeete market,Serranidae,Variola,louti,26.57808
Jessica Tran,2021,April,4,Papeete market,Serranidae,Epinephelus,fasciatus,26.58198
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,26.58834
Jessica Tran,2021,April,1,Papeete market,Mullidae ,Mulloidichthys,vanicolensis,26.5917
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,26.59797
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,oviceps,26.60351
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,26.60495
Jessica Tran,2021,April,4,Papeete market,Priacanthidae,Heteropriacanthus,cruentatus,26.61721
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,26.62133
Jessica Tran,2021,April,4,Papeete market,Mullidae ,Parupeneus ,multifasciatus,26.63344
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,26.63745
Jessica Tran,2021,April,3,Papeete market,Mullidae ,Parupeneus ,ciliatus,26.64073
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,26.64372
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,26.64469
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,26.65101
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,26.65911
Jessica Tran,2021,April,4,Papeete market,Mullidae ,Parupeneus ,cyclostomus,26.68621
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,26.68749
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.70207
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,26.70651
Jessica Tran,2021,April,4,Papeete market,Acanthuridae,Naso,lituratus,26.70847
Jessica Tran,2021,April,2,Papeete market,Priacanthidae,Other,Other,26.71211
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.71679
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,26.72017
Jessica Tran,2021,April,4,Papeete market,Kyphosidae,Kyphosus,vaigiensis,26.72231
Jessica Tran,2021,April,1,Papeete market,Mullidae ,Parupeneus ,ciliatus,26.72264
Jessica Tran,2021,April,4,Papeete market,Labridae,Cheilinus,trilobatus,26.73464
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.74381
Jessica Tran,2021,April,3,Papeete market,Lutjanidae,lutjanus,fulvus,26.74483
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,26.74808
Jessica Tran,2021,April,1,Papeete market,Serranidae,Cephalopholis,argus,26.74883
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,26.7491
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,26.75795
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,26.75854
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,26.7658
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,argenteus,26.77296
Jessica Tran,2021,April,4,Papeete market,Labridae,Epibulus,insidiator,26.7736
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,26.77483
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.77753
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,26.77981
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,26.78114
Jessica Tran,2021,April,2,Papeete market,Priacanthidae,Priacanthus,hamrur,26.79491
Jessica Tran,2021,April,3,Papeete market,Scaridae,Leptoscarus,vaigiensis,26.79902
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,26.80565
Jessica Tran,2021,April,2,Papeete market,Priacanthidae,Priacanthus,hamrur,26.81371
Jessica Tran,2021,April,4,Papeete market,Lutjanidae,pristipomoides,argyrogrammicus,26.82252
Jessica Tran,2021,April,4,Papeete market,Lutjanidae,pristipomoides,argyrogrammicus,26.82252
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,autre,26.82433
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,frontalis,26.83642
Jessica Tran,2021,April,3,Papeete market,Scaridae,Chlorurus,spilurus,26.84109
Jessica Tran,2021,April,3,Papeete market,Mullidae ,Parupeneus ,cyclostomus,26.84554
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,26.85727
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,26.86497
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,26.86894
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.87016
Jessica Tran,2021,April,3,Papeete market,Serranidae,Epinephelus,merra,26.87676
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.88513
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,26.88817
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,26.89754
Jessica Tran,2021,April,3,Papeete market,Serranidae,Epinephelus,merra,26.91282
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,oviceps,26.92813
Jessica Tran,2021,April,1,Papeete market,Acanthuridae,Naso,lituratus,26.93908
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,26.9416
Jessica Tran,2021,April,2,Papeete market,Serranidae,Cephalopholis,argus ,26.94562
Jessica Tran,2021,April,4,Papeete market,Chanidae,Chanos,chanos,26.9677
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,lituratus,26.97694
Jessica Tran,2021,April,1,Papeete market,Lethrinidae,Monotaxis,grandoculis,26.97828
Jessica Tran,2021,April,2,Papeete market,Scaridae,Chlorurus,spilurus,26.9815
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,26.98172
Jessica Tran,2021,April,1,Papeete market,Scaridae,Calotomus ,carolinus,27.00433
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,27.00949
Jessica Tran,2021,April,2,Papeete market,Siganidae,Siganus,argenteus,27.01705
Jessica Tran,2021,April,4,Papeete market,Scaridae,Scarus,psittacus,27.03012
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,27.03695
Jessica Tran,2021,April,1,Papeete market,Scaridae,Scarus,psittacus,27.03859
Jessica Tran,2021,April,3,Papeete market,Serranidae,Cephalopholis,argus,27.05318
Jessica Tran,2021,April,3,Papeete market,Serranidae,Epinephelus,merra,27.05799
Jessica Tran,2021,April,2,Papeete market,Scaridae,Calotomus ,carolinus,27.06739
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.06902
Jessica Tran,2021,April,2,Papeete market,Serranidae,Variola,louti,27.07952
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,27.07974
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,27.08103
Jessica Tran,2021,April,2,Papeete market,Priacanthidae,Priacanthus,hamrur,27.08151
Jessica Tran,2021,April,4,Papeete market,Scaridae,Calotomus ,carolinus,27.08187
Jessica Tran,2021,April,1,Papeete market,Siganidae,Siganus,argenteus,27.08624
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,unicornis,27.09555
Jessica Tran,2021,April,4,Papeete market,Acanthuridae,Naso,lituratus,27.11999
Jessica Tran,2021,April,2,Papeete market,Serranidae,Epinephelus,merra,27.12047
Jessica Tran,2021,April,4,Papeete market,Lutjanidae,lutjanus,fulvus,27.12166
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Parupeneus ,cyclostomus,27.12885
Jessica Tran,2021,April,2,Papeete market,Mugilidae,Ellochelon,vaigiensis,27.14121
Jessica Tran,2021,April,1,Papeete market,Scaridae,Chlorurus,spilurus,27.14171
Jessica Tran,2021,April,4,Papeete market,Siganidae,Siganus,spinus,27.14803
Jessica Tran,2021,April,2,Papeete market,Mullidae ,Parupeneus ,multifasciatus,27.14886
Jessica Tran,2021,April,2,Papeete market,Scaridae,Scarus,psittacus,27.15676
Jessica Tran,2021,April,3,Papeete market,Scaridae,Calotomus ,carolinus,27.16146
Jessica Tran,2021,April,2,Papeete market,Acanthuridae,Naso,lituratus,27.16147
Jessica Tran,2021,April,4,Papeete market,Scaridae,Chlorurus,spilurus,27.16577
Jessica Tran,2021,April,3,Papeete market,Scaridae,Scarus,psittacus,27.16586
